Day,Hour,Category,Timespent,Month
14,13,General Social Networking,2,9
14,13,General Utilities,33,9
14,13,Presentation,147,9
14,13,Search,5,9
14,13,Uncategorized,166,9
14,13,Voice Chat,5,9
14,14,Browsers,32,9
14,14,Email,578,9
14,14,General Business,36,9
14,14,General Entertainment,2,9
14,14,General News & Opinion,172,9
14,14,General Reference & Learning,254,9
14,14,General Social Networking,70,9
14,14,General Software Development,239,9
14,14,General Utilities,166,9
14,14,Instant Message,134,9
14,14,Presentation,121,9
14,14,Search,3,9
14,14,Systems Operations,761,9
14,14,Uncategorized,119,9
14,15,Browsers,4,9
14,15,Calendars,112,9
14,15,General Business,107,9
14,15,General Entertainment,1,9
14,15,General News & Opinion,81,9
14,15,General Reference & Learning,267,9
14,15,General Social Networking,32,9
14,15,General Utilities,39,9
14,15,Intelligence,223,9
14,15,Presentation,1793,9
14,15,Project Management,1,9
14,15,Uncategorized,186,9
14,16,General Business,695,9
14,16,General Reference & Learning,22,9
14,16,General Utilities,12,9
14,16,Presentation,258,9
14,17,Browsers,3,9
14,17,Email,166,9
14,17,General Utilities,44,9
14,17,Presentation,1995,9
14,17,Uncategorized,1,9
14,18,Browsers,35,9
14,18,Calendars,77,9
14,18,Email,1613,9
